state,division,revenue_district,district,block,gram_panchayat,n_schools_4_6,n_schools_govt,enrolment_govt
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ADAGAL,3,3,888.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ALUR-SK,5,5,644.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ANAWAL,5,5,683.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,BELUR,4,4,810.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,CHOLACHAGUD,11,10,1186.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,FAKIRBHUDIHAL,8,8,835.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALDUR,5,5,741.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALIGERI,2,2,358.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALKURKI,8,7,1657.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANAPUR-SP,4,4,586.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANGARAGI,4,4,674.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANSANUR,4,4,525.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HEBBALI,7,6,519.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HOSUR,7,7,859.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HULIGERI,8,7,582.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HULLIKERI,7,7,773.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,JALIHAL,5,4,425.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,JAMANKATTI,3,3,420.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KAINAKATTI,7,7,703.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KAKNUR,5,5,691.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KATAGERI,7,5,730.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KATARAKI,7,6,435.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KELAVADI,5,5,527.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KENDURU,5,4,530.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KITTALI,4,4,391.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KOTIKAL,7,4,706.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KULAGERI CROSS,12,9,1750.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,LAYADGUNDI,5,4,563.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,MAMTAGERI,5,5,1232.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,MANGALAGUDDA,3,3,456.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,MANGALORE,5,5,643.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,MUSTIGERI,3,3,1351.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,MUTALGERI,6,6,1365.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NAGARAL S.P.,2,2,410.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NANDIKESHWAR,6,5,1099.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NARASAPUR,4,4,617.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NEELGUND,3,2,427.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NEERALKERI,5,5,528.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,NEERBHUDIHAL,12,10,1281.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,PARVATI,3,3,814.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,PATTADKAL,5,5,576.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,SULIKERI,8,6,906.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BAGAVATI,4,4,480.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BEL-KERUR,6,5,519.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BENAKATTI,6,6,555.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BENNUR,6,5,1199.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BEVINAMATTI-S.H,4,4,485.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,BEVOOR,7,4,663.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,CHIKKA- SHELLIKERI,5,5,798.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,CHIKKAMYAGERI,5,5,615.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,DEVANAL,10,10,443.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,GADDANKERI,8,4,402.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,HALLUR,4,3,299.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,HIRE - GULBAL,6,6,362.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,HOSUR,8,8,553.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,KADALIMATTI,6,5,500.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,KADAMPUR,11,10,1217.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,KALADAGI,13,10,1581.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,KHAJIDONI,6,5,450.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,MUGALOLLI,7,7,612.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,MURNAL,6,6,579.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,NAINEGALLI,6,6,588.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,NEERALKERI,7,5,700.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,RAMPUR,8,6,589.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,SEEMIKERI,4,1,229.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,SHEEGIKERI,5,1,116.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,SUTAGUNDAR,4,4,555.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,TIMMAPUR,4,4,398.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,TULASIGERI,3,2,423.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,YADAHALLI,9,5,414.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,ANAGWADI,8,6,793.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,ARAKERI,7,5,524.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,BADAGANDI,6,4,696.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,BADAGI,7,5,243.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,BUDIHAL-SH,10,9,984.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,CHIKKALAGUNDI,3,3,370.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,GALGALLI,11,5,608.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,GIRISAGAR,4,3,422.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,HEGGURA,10,9,962.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,HERKAL,4,3,495.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,HONNIHAL,8,7,732.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,INAM - HANCHINAL,4,3,110.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,JANAMATTI,4,3,325.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,KANDAGAL,4,4,361.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,KATARAKI,8,7,758.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,KOLLUR,9,8,776.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,KORTI,14,10,607.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,KUNDARGI,6,5,1615.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,NAGARALA,9,5,522.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,SIDDAPUR,6,6,657.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,SONNA,3,3,473.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,SUNAG,6,6,888.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,TEGGI,9,9,1331.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,YADAHALLI,6,5,497.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,AMARAWATI,4,3,393.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,BALKUNDI,3,3,839.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,BELGAL,7,6,483.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,BINJAWADGI,8,8,515.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,BISALADINNI,5,5,561.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,BUDIHAL S.K.,8,8,370.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,CHIKKA KODAGALI,6,6,803.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,CHIKKANAL,8,8,1106.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,CHITTARGI,3,3,658.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,DHANNUR,10,8,624.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,GANJIHAL,3,3,454.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,GORABAL,6,5,502.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,GUDUR S.C.,11,7,1288.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HAVARAGI,8,7,334.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIRE BADAWADAGI,5,5,317.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIRE-KODAGALLI,5,5,675.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIRE-MAGI,5,5,582.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIRE-OATGERI,8,6,759.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIRE-SHINGANGUTTI,7,7,596.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HIREMALAGAVI,5,5,428.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,HUVINAHALLI,3,3,701.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,IAHOLE,7,5,423.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,JAMBALDINNI,12,10,785.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,KANDAGAL,10,7,1127.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,KARADI,13,9,824.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,KELUR,3,3,620.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,KODAL-SANGAM,13,7,253.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,MAROL,4,4,443.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,MUGNOOR,8,7,528.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,MURADI,3,3,458.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,NAGUR,2,2,228.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,NANDWADGI,12,9,753.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,RAKKASAGI,7,7,639.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,SULIBAVI,9,6,1310.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,VADGERI,4,4,858.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,ADIHUDI,7,7,797.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,ALGUR,5,2,416.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,ASANGI,7,6,944.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,BIDARI,12,10,1162.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,CHIKKA-PADSALGI,7,2,351.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,CHIMMAD,14,12,1540.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,GOLABAVI,7,6,864.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,GOTE,9,8,874.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HALINGALI,7,4,678.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HANGANDI,12,10,1743.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HIPPARAGI,12,9,863.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HIRE-PADSALGI,8,6,717.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HULYAL,6,4,466.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,HUNNUR,8,5,1165.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,JAGDAL,9,5,696.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,JAMBAGI B.K.,8,7,1131.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KADAPATTI,1,1,213.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KANKANWADI,2,2,405.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KANNOLLI,11,9,1012.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KHAJIBILAGI,3,2,551.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KOLAHALLI,11,8,850.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KONNUR,9,8,1005.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KUMBAR- HALL,6,4,1036.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,KUNCHANOOR,6,5,715.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,LINAGNOOR,5,4,429.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,MADARKHANDI,10,6,1132.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,MAIGUR,7,5,788.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,MAREGUDDHI,7,4,444.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,MUTTUR,4,3,672.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,NAVALAGI,6,4,1068.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,SASLATTI,9,6,568.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,SAVALAGI,19,14,1599.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,SIDDAPURA,8,3,538.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,SURAPALLI,9,6,639.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,TAMADADDI,1,1,252.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,TODALBAGI,12,9,686.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,TUNGAL,8,8,923.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,YALLATTI,8,4,674.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,BANTNUR,9,8,566.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,BARAGI,8,7,449.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,CHINCHAKHANDI K.D.,6,5,660.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,DADNATTI,5,5,410.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,DHAVALESHWAR,7,6,715.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,GULAGAL-JAMBAGI,5,4,494.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,HALGALI,6,5,1016.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,HEBBAL,6,6,1053.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,INGALAGI,7,3,840.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,KASABA-JAMBAGI,8,6,730.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,KESARKOPPA,8,6,484.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,KULALLI,9,8,1062.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,LAXANATTI,13,11,913.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MACHAKNUR,10,8,955.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MADHABAVI,13,11,1209.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MALALI,5,5,820.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MANTUR,12,7,1177.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MELLIGERI,4,3,536.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,METAGUD,8,7,838.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,MUGALKHODA,9,8,869.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,NAGARAL,6,6,1217.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,NANDAGAV,4,4,229.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,SAIDAPUR,8,6,618.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,SHIROL,19,16,1261.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,SORAGAVI,8,6,765.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,UTTUR,7,5,682.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,VAJARMATTI,5,5,302.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,VANTGODI,9,7,511.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,AMATUR,4,3,622.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,ANIGOL,1,1,323.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,BAILWAD,7,3,250.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,BELAVADI,10,7,1369.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,BHAVIHAL,4,4,642.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,BUDARKATTI,3,2,478.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,CHIKKABAGEWADI,5,4,534.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,CHIVATGUNDI,2,2,214.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,DESHANUR,11,10,898.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,DEVALAPUR,5,3,313.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,DODAVAD,6,5,830.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,GOVANKOPPA,3,3,486.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,H.NAGALAPUR,2,2,421.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,HANABARATTI,7,7,1333.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,HANNNIKERI,4,4,420.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,HOLIHOSUR,5,5,568.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,KENGANUR,4,4,489.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,M. NAGALAPUR,4,3,579.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,MALLAPUR K.N,3,2,217.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,MARIKATTI,6,6,687.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,MEKALAMARDI,5,4,468.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,MURAKIBHAVI,4,3,584.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,NAGANUR,6,5,326.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,NEGINHAL,6,5,624.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,NESARGI,4,4,762.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,PATTIHAL K.B,6,4,458.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,SAMPGAON,8,6,747.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,SANGOLLI,6,5,866.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,SUTAGATTI,3,3,459.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,TIGADI,5,4,511.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,UDAKERI,4,3,630.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,VAKKUND,7,7,1065.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,VANNUR,7,5,846.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM CITY,HINDALGA,1,1,19.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,AGASAGE,5,5,430.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,AMBEWADI,6,6,775.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,ANKALAGI,2,2,416.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,ARALIKATTI,3,3,308.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,ASTE,8,7,634.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BADAS K H,2,2,519.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BALEKUNDIR K H,5,4,325.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BALIKUNDIR B K,6,4,480.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BAMBARGA,13,12,692.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BASTAWADA,6,5,862.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BEKKINKERI,3,3,479.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BELAWATTI,5,5,449.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BELGUNDHI,7,5,632.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BENAKANHALLI,2,1,204.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BENDUGERI,2,1,230.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,BIJAGARNI,5,5,463.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,DESUR,4,4,592.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,DHAMANE S,10,10,495.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HALAGA,5,2,489.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HANDIGANUR,7,6,319.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HINDALGA,9,6,557.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HIRE BAGEWADI,13,7,1098.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HONGA,13,10,1046.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HOSA VANTAMARI,14,12,1826.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,HUDALI,7,6,870.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,K K KOPPA,2,2,207.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,KADOLI,8,6,826.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,KAKTI,1,1,154.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,KALAKHAMBA,3,3,377.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,KANGRALI B.K,5,4,916.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,KANGRALI K.H,4,4,900.0
